year,month,day,hour,Longitude,Latitude
2022,1,14,12,-122.368895,47.546895
2022,1,27,12,-122.368895,47.546895
2022,1,21,7,-122.349079,47.617238
2022,1,21,4,-122.29149,47.587651
2022,1,13,13,-122.292253,47.72838
2022,1,17,11,-122.292253,47.72838
2022,1,7,18,-122.292253,47.72838
2022,1,27,1,-122.317743,47.710284
2022,1,10,4,-122.324223,47.611694
2022,1,16,22,-122.380963,47.699722
2022,1,17,18,-122.288696,47.553454
2022,1,18,16,-122.288696,47.553454
2022,1,23,3,-122.377449,47.56468
2022,1,6,7,-122.262228,47.6789
2022,1,12,16,-122.289244,47.567948
2022,1,31,12,-122.263668,47.682124
2022,1,11,2,-122.336839,47.613758
2022,1,24,9,-122.389388,47.636498
2022,1,25,0,-122.301355,47.708426
2022,1,12,14,-122.34823,47.617908
2022,1,7,1,-122.34823,47.617908
2022,1,8,12,-122.34823,47.617908
2022,1,17,21,-122.34823,47.617908
2022,1,13,3,-122.259391,47.513185
2022,1,10,1,-122.321891,47.655888
2022,1,31,0,-122.265108,47.518597
2022,1,28,9,-122.234578,47.58848
2022,1,18,14,-122.234578,47.58848
2022,1,5,15,-122.234578,47.58848
2022,1,18,14,-122.234578,47.58848
2022,1,15,7,-122.359578,47.642351
2022,1,13,19,-122.31842,47.661304
2022,1,20,8,-122.297841,47.60645
2022,1,8,20,-122.31266,47.606186
2022,1,2,9,-122.31338,47.58444
2022,1,26,20,-122.370926,47.665043
2022,1,19,13,-122.350347,47.614736
2022,1,26,23,-122.349498,47.615391
2022,1,30,0,-122.344544,47.692382
2022,1,29,5,-122.330402,47.607412
2022,1,9,12,-122.330402,47.607412
2022,1,14,12,-122.283484,47.555165
2022,1,23,0,-122.356655,47.691867
2022,1,30,11,-122.319645,47.597509
2022,1,31,16,-122.319645,47.597509
2022,1,13,10,-122.340944,47.638302
2022,1,27,10,-122.326845,47.609611
2022,1,18,15,-122.326845,47.592263
2022,1,25,1,-122.326802,47.616665
2022,1,4,22,-122.326802,47.61667
2022,1,1,2,-122.358052,47.619946
2022,1,11,9,-122.358052,47.619946
2022,1,7,13,-122.321805,47.604008
2022,1,2,19,-122.301946,47.66707
2022,1,30,16,-122.301946,47.66707
2022,1,31,14,-122.301946,47.66707
2022,1,21,13,-122.301946,47.66707
2022,1,3,4,-122.301946,47.66707
2022,1,6,10,-122.301946,47.66707
2022,1,12,9,-122.301946,47.66707
2022,1,18,8,-122.301946,47.66707
2022,1,21,17,-122.301946,47.66707
2022,1,30,12,-122.301946,47.66707
2022,1,14,16,-122.301946,47.66707
2022,1,30,16,-122.301946,47.66707
2022,1,6,2,-122.301946,47.66707
2022,1,22,17,-122.328199,47.526481
2022,1,17,2,-122.308383,47.661284
2022,1,26,21,-122.323073,47.62222
2022,1,26,15,-122.323073,47.62222
2022,1,1,2,-122.302494,47.620553
2022,1,20,19,-122.313165,47.659899
2022,1,11,13,-122.313165,47.659979
2022,1,20,5,-122.292586,47.599125
2022,1,13,20,-122.272641,47.539799
2022,1,18,11,-122.330907,47.628713
2022,1,19,20,-122.263453,47.669888
2022,1,7,15,-122.326716,47.535404
2022,1,4,9,-122.306094,47.54541
2022,1,25,22,-122.254265,47.513584
